rang;type_de_document;nombre_de_reservations;titre_avec_lien_vers_le_catalogue;auteur
297;Nouveauté;86;Le cas Eduard Einstein;Seksik, Laurent
301;DVD-vidéo tous publics;85;Ted;
303;Nouveauté;85;A l'encre russe : roman;Rosnay, Tatiana de
309;DVD-vidéo tous publics;84;Renoir;
312;DVD-vidéo tous publics;83;Avengers;
315;Nouveauté;83;Moment d'un couple;Alard, Nelly
319;Livre jeunesse;82;Le héros perdu;Riordan, Rick
324;DVD-vidéo tous publics;81;Mad men. Intégrale saison 3;
333;Livre pour adulte;80;Le problème Spinoza;Yalom, Irvin D.
335;Livre pour adulte;80;L'embellie : roman;Audur Ava Olafsdottir
341;DVD-vidéo tous publics;79;Downton Abbey. Saison 1. Disques 2 & 3;
343;DVD jeunesse;79;Les enfants loups, Ame & Yuki;
346;Nouveauté;78;Le siècle;Follett, Ken
347;DVD-vidéo tous publics;78;Shotgun stories;
353;Nouveauté;78;Tout s'est bien passé;Bernheim, Emmanuèle
355;Bande dessinée jeunesse;77;La pierre de Jovénia;Sobral, Patrick
359;Livre pour adulte;76;Barbe bleue : roman;Nothomb, Amélie
366;DVD-vidéo tous publics;75;Breaking bad. Intégrale saison 1;
384;DVD-vidéo tous publics;72;Asterix et Obélix : au service de sa Majesté;
386;Livre pour adulte;71;La reine dans le palais des courants d'air;Larsson, Stieg
387;DVD-vidéo tous publics;71;Before sunrise;Linklater, Richard
392;;71;Les Légendaires. 15. Amour mortel;Sobral, Patrick
407;DVD-vidéo tous publics;69;La délicatesse;
411;DVD- vidéo > 12 ans;69;Shadow Dancer;
416;Bande dessinée pour adulte;68;Grasse carcasse;Larcenet, Manu
425;Livre pour adulte;67;Le club des incorrigibles optimistes : roman;Guenassia, Jean-Michel
430;DVD-vidéo tous publics;67;The Deep Blue Sea;
432;DVD-vidéo tous publics;67;Anna Karénine;
433;;67;Saratoga Woods : roman;George, Elizabeth
463;Nouveauté disque compact;65;Jake Bugg;Bugg, Jake
466;Nouveauté disque compact;65;Pushin' against a stone;June, Valerie
471;Livre pour adulte;64;La dernière conquête du major Pettigrew;Simonson, Helen
472;Nouveauté;64;Sacrifices : roman;Lemaitre, Pierre
489;Livre de section jeunesse > 12 ans;62;Le voleur de foudre;Riordan, Rick
492;Livre pour adulte;62;Du côté de Castle Rock;Munro, Alice
494;Livre jeunesse;62;17 lunes;Stohl, Margaret
511;DVD-vidéo tous publics;61;Boardwalk Empire. Saison 2;
519;Livre pour adulte;60;Troisième humanité : roman;Werber, Bernard
525;Livre pour adulte;60;Ecoute la pluie : roman;Lesbre, Michèle
544;Bande dessinée jeunesse;58;Fairy Tail. 24;Mashima, Hiro
545;DVD-vidéo tous publics;58;Les nouveaux chiens de garde;
547;DVD-vidéo tous publics;58;Broken;
549;DVD jeunesse;58;Le monde fantastique d'Oz;
551;DVD-vidéo tous publics;57;There will be blood;
552;Bande dessinée jeunesse;57;Le clan du requin;Gazzotti, Bruno
555;DVD-vidéo tous publics;57;Mad men : saison 4 ; David Carbonara, comp. Jon Hamm, January Jones, Christina Hendricks..., act.;
560;DVD-vidéo tous publics;57;Le magasin des suicides;
565;Nouveauté;57;Les évaporés;Reverdy, Thomas B.
567;Livre pour adulte;56;L'ombre du vent : roman;Ruiz Zafòn, Carlos
569;Nouveauté;56;L'armée furieuse;Vargas, Fred
574;DVD-vidéo tous publics;56;Twixt;
579;Livre pour adulte;55;Belle du Seigneur;Cohen, Albert
